# ell, ell*(ell+1)*C_11(ell)/2pi, ell*(ell+1)*C_12(ell)/2pi, ell*(ell+1)*C_22(ell)/2pi
1.420049999999999955e+02 6.649378580828057754e-06 9.519418622714822826e-06 1.544524330244244142e-05
1.473449999999999989e+02 6.800829397217739118e-06 9.735259923546479594e-06 1.580255126501962728e-05
1.528859999999999957e+02 6.956571771044748546e-06 9.954108910881577960e-06 1.615834764989002950e-05
1.586359999999999957e+02 7.115947586874962543e-06 1.017807620352600765e-05 1.652247620094982278e-05
1.646009999999999991e+02 7.279035961790176287e-06 1.040696465639126925e-05 1.689448511863224424e-05
1.707909999999999968e+02 7.448345645727335962e-06 1.064104079725251569e-05 1.726659185799683707e-05
1.772139999999999986e+02 7.621632027454704475e-06 1.088047019951713505e-05 1.764710581603341451e-05
1.838779999999999859e+02 7.799032777592225946e-06 1.112533673212192517e-05 1.803602414577812132e-05
1.907920000000000016e+02 7.984509371961150058e-06 1.137818792865641158e-05 1.842965700413186039e-05
1.979670000000000130e+02 8.175134176031409011e-06 1.163734333868266518e-05 1.883170214081534479e-05
2.054120000000000061e+02 8.370331192231762402e-06 1.190248409125616814e-05 1.924265182024534790e-05
2.131359999999999957e+02 8.575188124990771246e-06 1.217827365914845713e-05 1.966344905253891552e-05
2.211510000000000105e+02 8.786802827133899469e-06 1.246217538790691781e-05 2.009386112451215341e-05
2.294679999999999893e+02 9.003741354301637495e-06 1.275280323407675281e-05 2.053398781491214467e-05
2.380970000000000084e+02 9.230843352590550015e-06 1.305542653885248604e-05 2.098709671064587397e-05
2.470500000000000114e+02 9.466665605040051944e-06 1.336852417009641967e-05 2.145231231558717371e-05
2.563410000000000082e+02 9.708692104109502779e-06 1.368941261659527505e-05 2.192827874125460671e-05
2.659800000000000182e+02 9.961615100093728199e-06 1.402373275880490461e-05 2.242063544392891651e-05
2.759830000000000041e+02 1.022650881242281305e-05 1.437292607697677743e-05 2.293100848088388034e-05
2.863609999999999900e+02 1.049841825715467307e-05 1.473077352409140306e-05 2.345291276284634249e-05
2.971299999999999955e+02 1.078098131861953936e-05 1.510215156016229707e-05 2.399251251603636177e-05
3.083029999999999973e+02 1.107747091183431503e-05 1.549147940220832803e-05 2.455510200465835279e-05
3.198969999999999914e+02 1.138223188225175628e-05 1.589112996615588355e-05 2.513094171514152400e-05
